plate_name,well,treatment,n_points,slope_o2_umol_l_per_s,slope_o2_umol_l_per_h,r2,start_time,end_time,oxygen_decline_rate_umol_l_h,blank_threshold,is_biological,poor_fit,unreliable,label,area,notes,respiration_norm
20260319_Lacerate_25C_Plate2,A1,Sym,30,-3.930322922309471e-6,-0.014149162520314097,0.9820689137174566,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.014149162520314097,6.984340383466873e-4,TRUE,FALSE,FALSE,A1-Sym-Snap-45.czi,0.11993000000000001,"On side, estimated",0.11797850846588924
20260319_Lacerate_25C_Plate2,A2,Sym,30,-3.922783638439799e-6,-0.014122021098383277,0.9899065761627313,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.014122021098383277,6.984340383466873e-4,TRUE,FALSE,FALSE,A2-Sym-Snap-46.czi,0.20895,"On side, estimated",0.06758564775488528
20260319_Lacerate_25C_Plate2,A3,Sym,30,-4.830167865837857e-6,-0.017388604317016283,0.9977411646254815,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.017388604317016283,6.984340383466873e-4,TRUE,FALSE,FALSE,A3-Sym-Snap-47.czi,0.18495999999999999,NA,0.09401278285584064
20260319_Lacerate_25C_Plate2,A4,Sym,30,-1.0621908561887065e-5,-0.03823887082279343,0.9920889982671528,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.03823887082279343,6.984340383466873e-4,TRUE,FALSE,FALSE,A4-Sym-Snap-48.czi,0.45689,NA,0.08369382307074663
20260319_Lacerate_25C_Plate2,A5,Sym,30,-3.832626368831599e-6,-0.013797454927793756,0.9542947381961231,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.013797454927793756,6.984340383466873e-4,TRUE,FALSE,FALSE,A5-Sym-Snap-49.czi,0.10138,"On side, estimated",0.13609641869987923
20260319_Lacerate_25C_Plate2,B1,Blank,30,-8.764417498495729e-8,-3.1551902994584626e-4,0.15415941880690973,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,3.1551902994584626e-4,6.984340383466873e-4,FALSE,TRUE,TRUE,NA,NA,NA,NA
20260319_Lacerate_25C_Plate2,B3,Sym,30,-6.044306705683285e-6,-0.021759504140459827,0.9483902881661445,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.021759504140459827,6.984340383466873e-4,TRUE,FALSE,FALSE,B3-Sym-Snap-51.czi,0.17168,"On side, estimated",0.12674454881442118
20260319_Lacerate_25C_Plate2,B4,Sym,30,-7.626613907831144e-6,-0.02745581006819212,0.9935811658875795,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.02745581006819212,6.984340383466873e-4,TRUE,FALSE,FALSE,B4-Sym-Snap-52.czi,0.26277,NA,0.10448609075690574
20260319_Lacerate_25C_Plate2,B5,Sym,30,-5.049278303300268e-6,-0.018177401891880964,0.9966211313364388,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.018177401891880964,6.984340383466873e-4,TRUE,FALSE,FALSE,B5-Sym-Snap-53.czi,0.12194,"On side, estimated",0.14906840980712616
20260319_Lacerate_25C_Plate2,B6,Blank,30,-3.141368279029589e-9,-1.1308925804506521e-5,1.0124518072938131e-4,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,1.1308925804506521e-5,6.984340383466873e-4,FALSE,TRUE,TRUE,NA,NA,NA,NA
20260319_Lacerate_25C_Plate2,C1,Apo,30,-9.125674850584663e-7,-0.0032852429462104787,0.9350967508503654,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.0032852429462104787,6.984340383466873e-4,TRUE,FALSE,FALSE,C1-Apo-Snap-54.czi,0.06761,NA,0.04859108040542048
20260319_Lacerate_25C_Plate2,C2,Apo,30,-1.5603176241946339e-6,-0.005617143447100682,0.9763809224037667,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.005617143447100682,6.984340383466873e-4,TRUE,FALSE,FALSE,C2-Apo-Snap-55.czi,0.11759,"On side, estimated",0.04776888721065296
20260319_Lacerate_25C_Plate2,C3,Apo,30,-1.67340688223975e-6,-0.006024264776063101,0.9752315136740805,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.006024264776063101,6.984340383466873e-4,TRUE,FALSE,FALSE,C3-Apo-Snap-56.czi,0.20065999999999998,NA,0.030022250453817907
20260319_Lacerate_25C_Plate2,C4,Apo,30,-1.7283808271227775e-6,-0.0062221709776419986,0.9761791508644173,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.0062221709776419986,6.984340383466873e-4,TRUE,FALSE,FALSE,C4-Apo-Snap-57.czi,0.12405,"On side, estimated",0.05015857297575171
20260319_Lacerate_25C_Plate2,C5,Apo,30,-2.1763399437125876e-6,-0.007834823797365316,0.988731548208373,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.007834823797365316,6.984340383466873e-4,TRUE,FALSE,FALSE,C5-Apo-Snap-59.czi,0.10507,NA,0.07456765772689936
20260319_Lacerate_25C_Plate2,C6,Apo,30,-1.2003168194176903e-6,-0.004321140549903685,0.959375742528457,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.004321140549903685,6.984340383466873e-4,TRUE,FALSE,FALSE,C6-Apo-Snap-60.czi,0.1808,NA,0.023900113660971712
20260319_Lacerate_25C_Plate2,D1,Blank,30,-9.58117325104364e-8,-3.4492223703757105e-4,0.08169164568819058,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,3.4492223703757105e-4,6.984340383466873e-4,FALSE,TRUE,TRUE,NA,NA,NA,NA
20260319_Lacerate_25C_Plate2,D2,Apo,30,-5.59634758909354e-7,-0.0020146851320736745,0.830969067649123,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.0020146851320736745,6.984340383466873e-4,TRUE,TRUE,TRUE,D2-Apo-Snap-61.czi,0.13741,NA,0.014661852354804413
20260319_Lacerate_25C_Plate2,D3,Blank,30,-1.6335115050955742e-8,-5.880641418344067e-5,0.0030859641888162366,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,5.880641418344067e-5,6.984340383466873e-4,FALSE,TRUE,TRUE,NA,NA,NA,NA
20260319_Lacerate_25C_Plate2,D4,Apo,30,-5.701583426440961e-7,-0.002052570033518746,0.7954388136681821,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.002052570033518746,6.984340383466873e-4,TRUE,TRUE,TRUE,D4-Apo-Snap-63.czi,0.0641,"On side, estimated",0.032021373377827546
20260319_Lacerate_25C_Plate2,D5,Apo,30,-1.6286423842635502e-6,-0.005863112583348781,0.9724643355582437,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.005863112583348781,6.984340383466873e-4,TRUE,FALSE,FALSE,D5-Apo-Snap-64.czi,0.1209,"On side, estimated",0.04849555486640845
20260319_Lacerate_25C_Plate2,D6,Apo,30,-1.9479624698270366e-6,-0.007012664891377331,0.9750995084605044,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.007012664891377331,6.984340383466873e-4,TRUE,FALSE,FALSE,D6-Apo-Snap-66.czi,0.06799000000000001,NA,0.10314259290156391
