plate_name,well,treatment,n_points,slope_o2_umol_l_per_s,slope_o2_umol_l_per_h,r2,start_time,end_time,oxygen_decline_rate_umol_l_h,blank_threshold,is_biological,poor_fit,unreliable,label,area,notes,respiration_norm
20260324_Lacerate_32C_Plate3,A1,Sym,36,-4.113811451900628e-6,-0.01480972122684226,0.9849848782898646,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,0.01480972122684226,0.005369324110588856,TRUE,FALSE,FALSE,A1-Sym-Snap-67.czi,0.25749,NA,0.057515714112556834
20260324_Lacerate_32C_Plate3,A2,Blank,36,-1.4452771016803814e-7,-5.202997566049373e-4,0.2630714392600371,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,5.202997566049373e-4,0.005369324110588856,FALSE,TRUE,TRUE,A2-Sym-Snap-68.czi,0.26544,NA,0.0019601407346478954
20260324_Lacerate_32C_Plate3,A3,Blank,36,-4.458229982750011e-8,-1.604962793790004e-4,0.035944409149169756,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,1.604962793790004e-4,0.005369324110588856,FALSE,TRUE,TRUE,A3-Sym-Snap-69.czi,0.06877,NA,0.0023338124091755183
20260324_Lacerate_32C_Plate3,A4,Sym,36,-1.2929191184882232e-5,-0.04654508826557604,0.995802647019668,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,0.04654508826557604,0.005369324110588856,TRUE,FALSE,FALSE,A4-Sym-Snap-70.czi,0.18024,NA,0.25823950435849996
20260324_Lacerate_32C_Plate3,A5,Sym,36,-7.640514544436587e-6,-0.027505852359971713,0.9502028621101942,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,0.027505852359971713,0.005369324110588856,TRUE,FALSE,FALSE,A5-Sym-Snap-71.czi,0.36264,NA,0.07584892003080662
20260324_Lacerate_32C_Plate3,A6,Sym,36,-1.0069196121584757e-5,-0.03624910603770513,0.9956901352360326,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,0.03624910603770513,0.005369324110588856,TRUE,FALSE,FALSE,A6-Sym-Snap-72.czi,0.32033,NA,0.11316175830457692
20260324_Lacerate_32C_Plate3,B1,Sym,36,-6.587399563784133e-6,-0.02371463842962288,0.972150287741392,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,0.02371463842962288,0.005369324110588856,TRUE,FALSE,FALSE,B1-Sym-Snap-73.czi,0.35040999999999994,NA,0.06767683122520157
20260324_Lacerate_32C_Plate3,B2,Sym,36,-5.59669980289017e-6,-0.020148119290404613,0.9899308081288346,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,0.020148119290404613,0.005369324110588856,TRUE,FALSE,FALSE,B2-Sym-Snap-74.czi,0.32468,NA,0.06205531381792723
20260324_Lacerate_32C_Plate3,B3,Sym,36,-5.00156662955655e-6,-0.01800563986640358,0.9727976485930544,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,0.01800563986640358,0.005369324110588856,TRUE,FALSE,FALSE,B3-Sym-Snap-75.czi,0.33173,NA,0.054277996763643865
20260324_Lacerate_32C_Plate3,B4,Sym,36,-1.1863917395185901e-5,-0.04271010262266924,0.9824644841880562,2026-03-24T19:18:09Z,2026-03-24T22:13:09Z,0.04271010262266924,0.005369324110588856,TRUE,FALSE,FALSE,B4-Sym-Snap-76.czi,0.44988,NA,0.09493665560298133
