plate_name,well,treatment,treatment_final,area,notes,discard_reason
20260326_Lacerate_25C_Plate4,D2,Blank,Discard,NA,NA,missing_area
20260326_Lacerate_25C_Plate4,D4,Blank,Discard,NA,NA,missing_area
20260324_Lacerate_32C_Plate3,D5,Blank,Discard,NA,NA,missing_area
20260319_Lacerate_25C_Plate2,B1,Blank,Discard,NA,NA,missing_area
20260319_Lacerate_25C_Plate2,B6,Blank,Discard,NA,NA,missing_area
20260319_Lacerate_25C_Plate2,D1,Blank,Discard,NA,NA,missing_area
20260319_Lacerate_25C_Plate2,D3,Blank,Discard,NA,NA,missing_area
20260317_Lacerate_32C_Plate1,A1,Blank,Discard,NA,NA,missing_area
20260317_Lacerate_32C_Plate1,A6,Blank,Discard,NA,NA,missing_area
20260317_Lacerate_32C_Plate1,D1,Blank,Discard,NA,NA,missing_area
20260317_Lacerate_32C_Plate1,D6,Blank,Discard,NA,NA,missing_area
